linkedin_id,full_name,race,gender,age,job_title,state,city,zip_code,salary,num_years_at_job
1,Gabby Ygoe,Black,Male,27,Marketing Manager,New York,Jamaica,11499,23465.87,6
2,Perice Elloit,White,Male,51,Mechanical Engineer,New York,New York City,10280,21305.72,2
3,Julian Abbott,White,Male,37,Legal Assistant,New York,New York City,10090,20131.43,12
4,Rudolph Extill,Hispanic,Male,69,Data Analyst,New York,Albany,12210,23263.6,19
5,Sondra Malter,Black,Female,31,Clinical Specialist,New York,New York City,10099,20178.54,16
6,Noll Bachelor,Black,Male,44,Quality Control Specialist,New York,Flushing,11355,16117.93,16
7,Adelheid Instone,White,Female,30,Director of Sales,New York,Syracuse,13210,21744.7,12
8,Kyla Champley,White,Female,38,Registered Nurse,New York,New York City,10099,21869.02,7
9,Cherrita Sailes,White,Female,60,Paralegal,New York,Brooklyn,11231,19215.72,14
10,Agathe Sauvage,White,Female,40,GIS Technical Architect,New York,New York City,10079,17472.24,3
11,Dorice Bramsen,Black,Female,67,Junior Executive,New York,Brooklyn,11215,22336.01,10
12,Sonnie Crowche,American Indian & Alaska Native,Male,49,Legal Assistant,New York,Flushing,11355,19157.96,13
13,Marwin Barrass,White,Male,31,Actuary,New York,New York City,10014,18155.9,16
14,Cari Northcott,White,Female,65,Business Systems Development Analyst,New York,Buffalo,14225,22214.76,15
15,Ode Barneville,White,Male,26,Nurse,New York,Rochester,14646,21656.19,19
16,Janice Belfield,Asian,Female,35,Administrative Officer,New York,Jamaica,11480,15979.44,19
17,Flossi Imos,White,Female,21,Pharmacist,New York,Brooklyn,11205,24563.83,11
18,Kyle Fewless,Black,Female,30,Dental Hygienist,New York,Mount Vernon,10557,16370.47,10
19,Barbra Pepler,White,Female,52,Senior Editor,New York,New York City,10184,23302.18,6
20,Bessie Brim,White,Female,31,Nurse,New York,New York City,10110,24667.12,8
21,Gianni Albasini,White,Male,34,Executive Assistant,New York,New York City,10270,20044.11,14
22,Walton Deppe,White,Male,27,Web Designer,New York,Syracuse,13210,20615.11,2
23,Everett Duffree,White,Male,38,GIS Technical Architect,New York,New York City,10110,19259.87,10
24,Lisle Howe,White,Male,58,Graphic Designer,New York,Bronx,10454,24701.69,16
25,Charis Ingliss,Hispanic,Female,56,Food Chemist,New York,New York City,10160,22282.32,18
26,Onida Stuther,White,Female,69,Senior Developer,New York,Bronx,10454,17188.9,2
27,Clemmy Martusov,Black,Male,47,Human Resources,New York,Rochester,14639,24285.96,14
28,Gates Ernke,White,Female,25,Geologist,New York,New York City,10060,16251.57,7
29,Menard Schreurs,Other,Male,19,Nurse Practitioner,New York,Rochester,14614,24496.48,18
30,Rube Wainer,Black,Male,62,Data Analyst,New York,Port Washington,11054,21110.36,7
31,Wilhelmine Hoffmann,White,Female,45,Senior Sales Associate,New York,New York City,10184,23372.42,12
32,Morris People,Hispanic,Male,44,Data Analyst,New York,Syracuse,13217,19552.37,7
33,Arlina Doerrling,White,Female,21,Speech Pathologist,New York,New York City,10004,20953.56,5
34,Maurie MacCoughen,Hispanic,Male,39,Geologist,New York,Buffalo,14205,23668.73,8
35,Dorian Mc Elory,White,Male,40,Mechanical Engineer,New York,Rochester,14639,17481.24,2
36,Stearn Balogun,White,Male,20,Nurse Practitioner,New York,Buffalo,14220,15268.78,1
37,Laurie Pettegre,White,Female,55,Mechanical Engineer,New York,Buffalo,14233,24708.88,4
38,Noby McInnes,White,Male,60,Mechanical Engineer,New York,White Plains,10633,22897.96,10
39,Nara Ors,White,Female,41,Teacher,New York,Buffalo,14215,21600.65,11
40,Brett Greatex,White,Male,19,Mechanical Engineer,New York,Rochester,14639,20963.91,11
41,Dennet Iddins,White,Male,45,Compensation Analyst,New York,Jamaica,11436,21541.42,20
42,Ricardo Fallowes,White,Male,67,Database Administrator,New York,Albany,12237,17138.58,2
43,Alayne Schrinel,White,Female,30,VP Quality Control,New York,New York City,10014,16548.79,12
44,Merrill Muffen,Hispanic,Female,42,Web Designer,New York,Elmira,14905,15939.68,1
45,Marlowe Pritchard,White,Male,59,Mechanical Engineer,New York,Rochester,14619,16656.59,2
46,Eleanore Ochterlonie,Other,Female,70,Data Analyst,New York,New York City,10292,18230.18,20
47,Mohandas Game,Hispanic,Male,61,Sales Associate,New York,Syracuse,13217,21095.28,20
48,Lyell Figurski,Black,Male,51,Safety Technician,New York,New York City,10292,21137.93,15
49,Barr Ingolotti,Hispanic,Male,65,Mechanical Engineer,New York,Syracuse,13205,23825.45,13
50,Siana Brennon,White,Female,26,Mechanical Engineer,New York,Buffalo,14233,22783.3,5
51,Alick MacArdle,White,Male,34,Tax Accountant,New York,Albany,12247,21891.05,9
52,Dionisio M'Barron,White,Male,23,Community Outreach Specialist,New York,Albany,12237,20918.67,15
53,Sibyl Forbes,White,Female,37,Help Desk Operator,New York,Rochester,14652,21598.37,1
54,Neville Burn,Hispanic,Male,27,General Manager,New York,Brooklyn,11241,22878.34,7
55,Albina Rape,Hispanic,Female,64,Account Executive,New York,Utica,13505,21793.77,8
56,Kass Pursglove,White,Female,39,Desktop Support Technician,New York,Buffalo,14233,17139.23,14
57,Corny Sibylla,White,Male,65,Mechanical Engineer,New York,Jamaica,11480,20905.84,9
58,Bryana Hacquel,Asian,Female,44,Social Worker,New York,Rochester,14604,22293.65,19
